model;price;transmission;mileage;fuelType;tax;mpg;engineSize;Make
 X1;30995;Semi-Auto;1501;Diesel;145;50,4;2;BMW
 Golf;19000;Manual;3084;Petrol;145;49,6;1,5;vw
 Golf;25000;Manual;1000;Petrol;150;49,6;1,5;vw
 Tucson;25000;Semi-Auto;7417;Petrol;145;36,2;1,6;Hyundai
 Q2;24988;Automatic;1500;Petrol;145;42,2;0;audi
 Land Cruiser;45950;Automatic;27;Diesel;145;30,1;2,8;toyota
 Karoq;27995;Automatic;6000;Diesel;145;42,8;2;skoda
 A3;21946;Manual;3000;Diesel;145;51,4;1,6;audi
 Z4;30990;Semi-Auto;10;Petrol;145;38,7;2;BMW
 T-Roc;20990;Manual;5000;Other;145;44,1;1;vw
 5 Series;36993;Semi-Auto;500;Hybrid;145;49,6;2;BMW
 A4;43990;Semi-Auto;4250;Diesel;145;40,4;3;audi
 3 Series;32995;Manual;2356;Diesel;145;54,3;2;BMW
 Tiguan;27850;Semi-Auto;2500;Diesel;150;40,4;2;vw
 Golf;22970;Automatic;4;Diesel;145;52,3;2;vw
 X5;63295;Semi-Auto;150;Diesel;150;33,6;3;BMW
 TT;29000;Semi-Auto;1000;Petrol;145;40,9;2;audi
 Kamiq;20999;Manual;1169;Petrol;145;46,3;1,5;skoda
 Q5;37981;Semi-Auto;4002;Diesel;145;38,2;2;audi
 A4;40780;Semi-Auto;6746;Diesel;145;45,6;2;audi
 Golf;22990;Semi-Auto;727;Petrol;145;45,6;1,5;vw
 A3;20499;Manual;3000;Diesel;145;56,5;2;audi
 Q2;24950;Semi-Auto;789;Diesel;145;47,9;1,6;audi
 Aygo;11360;Manual;560;Petrol;145;57,7;1;toyota
 Q2;31990;Automatic;157;Diesel;145;44,8;2;audi
 Polo;14250;Manual;1564;Petrol;145;48,7;1;vw
 3 Series;32995;Semi-Auto;1501;Diesel;145;50,4;2;BMW
 TT;33000;Automatic;2500;Petrol;150;34,9;2;audi
 Karoq;31990;Semi-Auto;2000;Petrol;145;33,2;2;skoda
 Yaris;14750;Manual;574;Petrol;150;47,9;1,5;toyota
 A1;28445;Automatic;244;Petrol;145;40,4;2;audi
 Polo;15440;Manual;3500;Petrol;145;52,3;1;vw
 Fabia;11990;Manual;835;Petrol;145;47,1;1;skoda
 Golf;19990;Manual;2000;Diesel;145;57,7;1,6;vw
 I10;12795;Manual;822;Petrol;145;53,3;1;Hyundai
 Q2;29970;Semi-Auto;1015;Petrol;150;34,5;2;audi
 Z4;35850;Semi-Auto;5;Petrol;145;37,2;2;BMW
 EcoSport;16990;Manual;10;Petrol;150;53,3;1;Ford
 Golf;20790;Manual;2500;Petrol;145;50,4;1,5;vw
 Passat;28151;Semi-Auto;6142;Petrol;145;36,7;2;vw
 A4;25500;Manual;1000;Petrol;145;42,2;2;audi
 Golf;24999;Manual;5000;Petrol;150;47,9;1,5;vw
 Q3;30450;Semi-Auto;4000;Diesel;145;47,1;2;audi
 3 Series;41555;Semi-Auto;9;Petrol;145;33,6;3;BMW
 Polo;17450;Manual;1000;Petrol;150;52,3;1;vw
 A1;19444;Manual;4000;Petrol;145;49,6;1;audi
 TT;42444;Automatic;1500;Petrol;145;35,3;2;audi
 3 Series;31000;Semi-Auto;986;Diesel;150;50,4;2;BMW
 3 Series;33475;Semi-Auto;12;Diesel;145;48,7;2;BMW
 A5;27900;Semi-Auto;5000;Petrol;145;40,4;2;audi
 I30;19995;Manual;37;Petrol;145;44,8;1;Hyundai
 Q5;48895;Automatic;1000;Diesel;145;34,5;3;audi
 3 Series;23850;Semi-Auto;15;Petrol;145;42,2;2;BMW
 TT;30990;Automatic;1000;Petrol;150;40,9;2;audi
 Ioniq;22995;Automatic;3358;Hybrid;135;62,8;1,6;Hyundai
 Prius;25990;Automatic;1459;Hybrid;135;62,8;1,8;toyota
 Up;9641;Manual;3500;Petrol;145;54,3;1;vw
 Puma;24500;Manual;384;Petrol;145;49,6;1;Ford
 5 Series;29000;Semi-Auto;9;Petrol;150;50,4;2;BMW
 Golf;18495;Manual;99;Diesel;145;57,7;1,6;vw
 4 Series;27495;Semi-Auto;10;Petrol;145;48,7;2;BMW
 T-Cross;23995;Automatic;100;Petrol;150;45,6;1;vw
 Z4;31980;Semi-Auto;1000;Petrol;145;38,7;2;BMW
 4 Series;48155;Semi-Auto;10;Petrol;145;44,8;2;BMW
 Focus;22750;Manual;550;Petrol;145;51,4;1,5;Ford
 Q3;36950;Semi-Auto;2888;Petrol;150;39,2;1,5;audi
 Tucson;20991;Semi-Auto;450;Petrol;145;36,2;1,6;Hyundai
 A1;23845;Semi-Auto;5000;Petrol;145;44,8;1;audi
 X5;48490;Semi-Auto;5656;Diesel;145;37,7;3;BMW
 Tiguan;30000;Semi-Auto;1000;Diesel;145;37,2;1,5;vw
 2 Series;20980;Semi-Auto;10;Petrol;145;50,4;1,5;BMW
 4 Series;25775;Semi-Auto;12;Diesel;150;65,7;2;BMW
 1 Series;24880;Manual;1550;Diesel;145;53,3;2;BMW
 4 Series;25980;Semi-Auto;101;Diesel;145;65,7;2;BMW
 A5;29950;Semi-Auto;2888;Petrol;145;40,4;2;audi
 5 Series;40995;Semi-Auto;2712;Hybrid;145;55,4;2;BMW
 T-Cross;19790;Manual;10;Diesel;145;53,3;1,6;vw
 X1;28995;Semi-Auto;1600;Petrol;145;37,7;1,5;BMW
 Golf;22290;Automatic;1654;Petrol;145;45,6;1,5;vw
 Tiguan;30450;Semi-Auto;10;Petrol;145;30,4;2;vw
 1 Series;24995;Semi-Auto;102;Petrol;145;40,4;1,5;BMW
 Polo;17234;Semi-Auto;3885;Petrol;145;45,6;1;vw
 Golf;28990;Semi-Auto;6000;Petrol;150;37,7;2;vw
 Golf;25990;Semi-Auto;1446;Hybrid;145;44,8;1,5;vw
 A3;24450;Semi-Auto;1183;Petrol;150;43,5;1,5;audi
 Q3;27990;Manual;5000;Petrol;145;39,8;1,5;audi
 4 Series;28995;Semi-Auto;121;Petrol;145;48,7;2;BMW
 X3;35900;Semi-Auto;4500;Diesel;150;54,3;2;BMW
 Kodiaq;33495;Automatic;960;Diesel;145;39,2;2;skoda
 X2;33400;Semi-Auto;1766;Diesel;145;58,9;2;BMW
 Tiguan;28990;Semi-Auto;2331;Diesel;145;39,8;2;vw
 Golf;21000;Semi-Auto;2999;Petrol;145;45,6;1,5;vw
 Arteon;31991;Semi-Auto;4688;Diesel;145;50,4;2;vw
 Passat;25690;Semi-Auto;4997;Diesel;145;53,3;2;vw
 Polo;13990;Manual;2887;Petrol;145;48,7;1;vw
 2 Series;33065;Semi-Auto;102;Diesel;145;49,6;2;BMW
 1 Series;23450;Manual;1524;Petrol;145;44,1;1,5;BMW
 Passat;27489;Manual;5000;Petrol;145;43,5;1,5;vw
 2 Series;25000;Automatic;101;Petrol;145;47,9;2;BMW
 Golf;23790;Manual;190;Petrol;145;47,1;1,5;vw
 X2;34990;Semi-Auto;103;Petrol;150;34;2;BMW
 Golf;34299;Semi-Auto;3201;Petrol;145;32,8;2;vw
 T-Roc;39495;Semi-Auto;10;Petrol;145;32,5;2;vw
 A5;28000;Semi-Auto;1500;Diesel;145;51,4;2;audi
 Tucson;24749;Semi-Auto;6000;Petrol;150;36,2;1,6;Hyundai
 Focus;20391;Automatic;2738;Diesel;145;74,3;1,5;Ford
 Q3;31990;Semi-Auto;2166;Diesel;145;47,1;2;audi
 S-MAX;34498;Semi-Auto;4623;Diesel;145;43,5;2;Ford
 Q7;56900;Semi-Auto;1500;Diesel;145;33,2;3;audi
 A4;32850;Semi-Auto;3500;Petrol;145;38,2;2;audi
 Polo;15490;Manual;5000;Petrol;145;52,3;1;vw
 A4;40900;Semi-Auto;1964;Diesel;145;40,4;3;audi
 Tiguan;32501;Semi-Auto;150;Petrol;145;30,4;2;vw
 Tiguan Allspace;37950;Semi-Auto;2500;Diesel;145;38,7;2;vw
 Fiesta;15500;Manual;2462;Petrol;150;58,9;1;Ford
 Passat;24496;Automatic;1005;Diesel;145;53,3;2;vw
 Scala;16495;Manual;500;Petrol;150;50,4;1;skoda
 Scala;19995;Semi-Auto;1000;Petrol;145;45,6;1,5;skoda
 I10;13949;Semi-Auto;6000;Petrol;150;52,3;1,2;Hyundai
 Polo;15999;Manual;2000;Petrol;150;48,7;1;vw
 Q3;30990;Semi-Auto;859;Diesel;150;48,7;2;audi
 3 Series;29990;Semi-Auto;12;Petrol;150;41,5;2;BMW
 4 Series;26990;Semi-Auto;7;Petrol;145;48,7;2;BMW
 Scala;14995;Manual;1656;Petrol;145;50,4;1;skoda
 2 Series;21890;Semi-Auto;12;Petrol;150;50,4;1,5;BMW
 Superb;26995;Semi-Auto;1000;Diesel;145;47,1;2;skoda
 Golf;20950;Semi-Auto;1500;Petrol;150;45,6;1,5;vw
 EcoSport;18499;Manual;7;Petrol;145;52,3;1;Ford
 Kona;13999;Automatic;25446;Hybrid;135;52,3;1,6;Hyundai
 Fiesta;14999;Manual;79;Petrol;145;56,5;1;Ford
 Polo;15500;Manual;1000;Petrol;145;47,9;1;vw
 3 Series;30990;Semi-Auto;4506;Diesel;150;52,3;2;BMW
 Up;9990;Manual;387;Petrol;145;54,3;1;vw
 A4;35995;Semi-Auto;609;Petrol;145;40,9;2;audi
 T-Roc;26249;Manual;5000;Other;145;42,2;1,5;vw
 2 Series;28000;Semi-Auto;1501;Diesel;145;65,7;2;BMW
 2 Series;31820;Manual;1500;Petrol;145;43,5;1,5;BMW
 4 Series;35450;Semi-Auto;10;Diesel;145;47,9;3;BMW
 Q3;37888;Automatic;285;Petrol;145;30,7;0;audi
 Polo;14965;Manual;100;Petrol;150;47,9;1;vw
 T-Cross;22990;Manual;6000;Petrol;145;47,9;1;vw
 Passat;20998;Semi-Auto;15;Diesel;145;49,6;1,6;vw
 A4;43750;Automatic;2000;Diesel;145;40,9;3;audi
 Focus;22490;Manual;3492;Petrol;145;60,1;1;Ford
 Up;9700;Manual;999;Petrol;145;54,3;1;vw
 A3;29000;Semi-Auto;352;Diesel;145;50,4;2;audi
 4 Series;31503;Semi-Auto;1418;Diesel;145;50,4;3;BMW
 1 Series;32451;Semi-Auto;206;Diesel;145;48,7;2;BMW
 A1;21000;Manual;5000;Petrol;145;47,9;1;audi
 Corolla;27995;Automatic;2500;Hybrid;135;53,3;2;toyota
 Octavia;21490;Semi-Auto;1495;Petrol;150;44,8;1,5;skoda
 Q7;51995;Semi-Auto;3000;Diesel;145;33,2;3;audi
 A1;22750;Semi-Auto;2999;Petrol;145;44,8;1,5;audi
 A5;32880;Automatic;4521;Petrol;145;39,2;2;audi
 3 Series;40000;Semi-Auto;2000;Diesel;145;47,9;3;BMW
 Fabia;14257;Manual;2777;Petrol;150;51,4;1;skoda
 Scala;18600;Automatic;3059;Petrol;150;47,1;1;skoda
 Hilux;30500;Automatic;5000;Diesel;260;2,8;2,4;toyota
 Passat;20998;Semi-Auto;36;Diesel;145;49,6;1,6;vw
 7 Series;54995;Semi-Auto;1501;Diesel;145;42,2;3;BMW
 T-Roc;21690;Manual;2500;Petrol;145;44,1;1;vw
 X2;39991;Semi-Auto;700;Petrol;145;34;2;BMW
 6 Series;36850;Semi-Auto;6;Diesel;145;53,3;3;BMW
 Fiesta;15000;Manual;424;Petrol;145;58,9;1;Ford
 T-Cross;18980;Manual;600;Petrol;145;47,9;1;vw
 Tucson;23980;Semi-Auto;1764;Hybrid;145;50,4;1,6;Hyundai
 1 Series;31016;Semi-Auto;101;Diesel;145;48,7;2;BMW
 3 Series;37000;Automatic;4691;Hybrid;135;8,8;2;BMW
 A1;23795;Semi-Auto;1000;Petrol;145;44,8;1,5;audi
 A1;20990;Manual;3265;Petrol;145;47,9;1;audi
 A3;27490;Automatic;1350;Diesel;145;51,4;2;audi
 Q5;33450;Semi-Auto;310;Petrol;150;33,2;2;audi
 Kuga;25050;Manual;50;Diesel;145;38,2;2;Ford
 I10;12500;Manual;371;Petrol;150;56,5;1;Hyundai
 X3;39993;Semi-Auto;500;Diesel;145;54,3;2;BMW
 X2;25980;Semi-Auto;23;Diesel;145;61,4;2;BMW
 Z4;35995;Automatic;2500;Petrol;145;38,7;2;BMW
 T-Roc;29990;Semi-Auto;2503;Petrol;145;34,5;2;vw
 3 Series;34993;Semi-Auto;6250;Diesel;145;47,9;3;BMW
 3 Series;26490;Semi-Auto;14;Diesel;150;60,1;2;BMW
 X2;22980;Semi-Auto;10;Petrol;145;43,5;1,5;BMW
 Q2;26500;Automatic;10;Petrol;145;42,2;1,5;audi
 Tiguan;29995;Semi-Auto;2000;Diesel;145;39,8;2;vw
 A4;45000;Semi-Auto;2500;Diesel;145;40,4;3;audi
 3 Series;35158;Semi-Auto;101;Diesel;145;48,7;2;BMW
 Q3;36900;Semi-Auto;2183;Petrol;145;39,8;1,5;audi
 X4;45990;Semi-Auto;7724;Diesel;145;37,2;3;BMW
 Up;11099;Manual;500;Petrol;145;51,4;1;vw
 A5;33990;Semi-Auto;3000;Petrol;145;39,8;2;audi
 A1;25000;Semi-Auto;3000;Petrol;145;44,8;1,5;audi
 Up;10950;Manual;1000;Petrol;145;54,3;1;vw
 Superb;27995;Semi-Auto;4500;Hybrid;140;188,3;1,4;skoda
 Q3;38000;Semi-Auto;2000;Petrol;145;30,7;2;audi
 Golf;19990;Manual;100;Petrol;150;51,4;1;vw
 Tiguan;31990;Semi-Auto;1500;Diesel;150;31,4;2;vw
 Mondeo;20000;Manual;15;Diesel;145;65,7;2;Ford
 Scala;16990;Semi-Auto;3569;Petrol;145;47,1;1;skoda
 Tiguan;26990;Manual;1061;Diesel;145;47,9;2;vw
 Scala;21450;Semi-Auto;1000;Petrol;145;47,1;1;skoda
 4 Series;32583;Automatic;2500;Petrol;145;48,7;2;BMW
 Z4;29990;Semi-Auto;11;Petrol;145;38,7;2;BMW
 S4;45888;Automatic;1500;Diesel;145;39,2;3;audi
 EcoSport;18470;Manual;726;Petrol;150;51,4;1;Ford
 Scala;18250;Manual;3543;Petrol;145;49,6;1;skoda
 Tiguan;29790;Manual;5000;Diesel;145;47,9;2;vw
 Corolla;25490;Automatic;1697;Hybrid;135;56,5;1,8;toyota
 2 Series;28995;Semi-Auto;1501;Diesel;145;49,6;2;BMW
 Q3;37888;Semi-Auto;2553;Petrol;145;30,7;2;audi
 4 Series;30995;Semi-Auto;10;Diesel;145;60,1;2;BMW
 3 Series;28990;Semi-Auto;5656;Diesel;145;52,3;2;BMW
 Tiguan;31490;Automatic;896;Petrol;145;31,4;2;vw
 Tiguan;32990;Manual;2986;Diesel;145;47,9;2;vw
 Up;9999;Manual;5000;Petrol;145;54,3;1;vw
 A4;28970;Semi-Auto;3515;Diesel;150;54,3;3;audi
 X3;34950;Semi-Auto;2500;Diesel;145;54,3;2;BMW
 S4;44888;Automatic;1500;Diesel;145;39,2;0;audi
 Polo;16190;Automatic;4150;Petrol;145;45,6;1;vw
 Aygo;10980;Semi-Auto;4578;Petrol;145;56,5;1;toyota
 T-Cross;24990;Automatic;3000;Petrol;150;45,6;1;vw
 Tiguan Allspace;34250;Semi-Auto;5000;Diesel;145;38,7;2;vw
 T-Cross;22880;Automatic;1000;Petrol;145;45,6;1;vw
 Tiguan;23741;Manual;4366;Petrol;145;38,2;1,5;vw
 A5;29000;Semi-Auto;5000;Diesel;145;51,4;2;audi
 Octavia;17500;Manual;3000;Diesel;150;57,7;1,6;skoda
 Kodiaq;32999;Automatic;3589;Diesel;145;39,2;2;skoda
 X2;27890;Manual;10;Diesel;145;48,7;2;BMW
 A4;43995;Semi-Auto;4000;Diesel;145;40,9;3;audi
 X4;53630;Semi-Auto;117;Diesel;145;40,9;3;BMW
 Scala;15995;Manual;1422;Petrol;145;49,6;1;skoda
 3 Series;41950;Semi-Auto;8;Petrol;150;33,6;3;BMW
 1 Series;32972;Semi-Auto;151;Petrol;150;34,5;2;BMW
 Golf;28840;Automatic;4000;Petrol;150;37,7;2;vw
 T-Cross;22999;Manual;489;Diesel;145;52,3;1,6;vw
 Q2;28490;Automatic;101;Petrol;145;42,2;1,5;audi
 3 Series;29875;Semi-Auto;150;Petrol;145;42,2;2;BMW
 Fabia;13795;Manual;1000;Petrol;150;51,4;1;skoda
 Q3;37990;Automatic;1500;Petrol;145;30,7;0;audi
 T-Roc;24250;Manual;2000;Diesel;145;50,4;1,6;vw
 Q7;60950;Automatic;2402;Diesel;145;33,2;3;audi
 3 Series;30990;Semi-Auto;3656;Diesel;150;50,4;2;BMW
 3 Series;33995;Semi-Auto;10;Diesel;145;53,3;2;BMW
 Golf;24000;Semi-Auto;1000;Hybrid;145;44,8;1,5;vw
 3 Series;35995;Semi-Auto;11;Diesel;145;47,9;3;BMW
 Golf;23490;Semi-Auto;2589;Hybrid;145;44,8;1,5;vw
 Golf;23551;Semi-Auto;3546;Petrol;150;44,1;1,5;vw
 Fiesta;21000;Manual;10;Petrol;150;40,3;1,5;Ford
 Touran;25980;Manual;469;Petrol;145;39,8;1,5;vw
 4 Series;30750;Semi-Auto;100;Diesel;145;50,4;3;BMW
 Fiesta;13750;Manual;1200;Petrol;145;56,5;1;Ford
 T-Roc;34995;Semi-Auto;2000;Petrol;150;32,5;2;vw
 A4;45000;Semi-Auto;6400;Diesel;145;39,2;3;audi
 1 Series;28790;Semi-Auto;953;Diesel;145;51,4;2;BMW
 EcoSport;16999;Manual;1812;Petrol;145;52,3;1;Ford
 Octavia;16595;Manual;10;Petrol;150;51,4;1,5;skoda
 A4;47990;Automatic;5500;Petrol;145;35,3;2;audi
 T-Cross;18999;Manual;1549;Diesel;145;53,3;1,6;vw
 Tiguan;28995;Manual;2000;Diesel;145;47,9;2;vw
 2 Series;30995;Semi-Auto;1000;Diesel;145;48,7;2;BMW
 Karoq;24990;Semi-Auto;7321;Diesel;145;42,8;2;skoda
 3 Series;23990;Manual;5;Diesel;145;56,5;2;BMW
 Tiguan;36100;Automatic;50;Diesel;145;39,8;2;vw
 3 Series;32000;Semi-Auto;1798;Diesel;145;52,3;2;BMW
 T-Cross;18990;Automatic;2500;Diesel;145;51,4;1,6;vw
 Polo;15990;Manual;752;Diesel;145;57,7;1,6;vw
 A4;47990;Semi-Auto;5000;Diesel;145;39,2;3;audi
 Golf;31498;Semi-Auto;15;Petrol;150;32,8;2;vw
 Golf;20995;Manual;5106;Diesel;145;55,4;2;vw
 Caravelle;50395;Semi-Auto;1000;Diesel;145;34;2;vw
 Kona;25280;Automatic;2083;Hybrid;135;52,3;1,6;Hyundai
 T-Cross;20999;Manual;1711;Petrol;145;47,9;1;vw
 Golf;30498;Semi-Auto;10;Petrol;150;32,8;2;vw
 Scala;18545;Semi-Auto;100;Petrol;145;45,6;1,5;skoda
 T-Cross;22999;Manual;5000;Other;145;47,9;1;vw
 Tiguan;33999;Manual;896;Diesel;145;47,9;2;vw
 5 Series;35995;Automatic;2500;Hybrid;145;62,8;2;BMW
 Golf;24490;Manual;50;Petrol;145;47,1;1,5;vw
 Passat;36500;Semi-Auto;1026;Hybrid;135;43,5;1,4;vw
 Scala;15990;Manual;1234;Petrol;150;49,6;1;skoda
 3 Series;51000;Semi-Auto;5000;Diesel;150;43,5;3;BMW
 4 Series;25453;Semi-Auto;2540;Diesel;145;65,7;2;BMW
 Z4;33993;Semi-Auto;603;Petrol;145;38,7;2;BMW
 Scala;17000;Manual;731;Petrol;150;50,4;1;skoda
 Q3;32444;Semi-Auto;1445;Petrol;145;31,4;2;audi
 Passat;23000;Manual;2000;Petrol;145;45,6;1,5;vw
 X4;43995;Semi-Auto;2000;Petrol;145;26,9;3;BMW
 3 Series;36990;Semi-Auto;2475;Petrol;145;40,4;2;BMW
 Z4;33850;Semi-Auto;103;Petrol;145;37,2;2;BMW
 Golf;31989;Automatic;2419;Petrol;145;32,8;2;vw
 Santa Fe;43995;Semi-Auto;10;Diesel;145;39,2;2,2;Hyundai
 Up;11780;Manual;6;Petrol;145;50,4;1;vw
 Z4;34993;Semi-Auto;3100;Petrol;145;38,7;2;BMW
 Q3;38888;Automatic;1500;Petrol;145;30,7;0;audi
 X5;61980;Semi-Auto;3968;Diesel;145;33,6;3;BMW
 Puma;21500;Manual;3198;Petrol;145;50,4;1;Ford
 Golf;34495;Semi-Auto;1500;Petrol;145;32,8;2;vw
 Yaris;14991;Manual;3836;Petrol;150;47,9;1,5;toyota
 3 Series;27995;Manual;1000;Diesel;145;54,3;2;BMW
 Scala;22499;Automatic;2645;Diesel;145;54,3;1,6;skoda
 Aygo;9480;Manual;10000;Petrol;145;56,5;1;toyota
 X4;43898;Semi-Auto;2679;Petrol;145;26,9;3;BMW
 X6;55995;Semi-Auto;5000;Diesel;145;34,9;3;BMW
 4 Series;26750;Semi-Auto;2986;Diesel;150;65,7;2;BMW
 Q5;44990;Semi-Auto;6000;Diesel;145;37,2;2;audi
 Land Cruiser;50995;Semi-Auto;3390;Diesel;145;30,1;2,8;toyota
 C-HR;25000;Automatic;3520;Other;135;57,7;1,8;toyota
 A1;27995;Automatic;94;Petrol;145;40,4;2;audi
 A3;29490;Manual;500;Diesel;145;52,3;1,6;audi
 T-Roc;25500;Manual;1690;Petrol;145;44,1;1,5;vw
 Touareg;49999;Semi-Auto;2000;Diesel;145;33,6;3;vw
 Golf;33850;Semi-Auto;5000;Petrol;145;32,8;2;vw
 I30;16995;Manual;4000;Petrol;145;41,5;1,4;Hyundai
 T-Roc;26995;Semi-Auto;2964;Petrol;150;39,8;1,5;vw
 4 Series;47550;Semi-Auto;101;Diesel;145;60,1;2;BMW
 Q2;27591;Semi-Auto;4455;Diesel;150;44,8;2;audi
 Kodiaq;32990;Automatic;1007;Diesel;145;39,2;2;skoda
 Tiguan;23250;Manual;3000;Petrol;145;38,2;1,5;vw
 Focus;22995;Manual;5817;Petrol;145;60,1;1;Ford
 Octavia;20950;Semi-Auto;1234;Diesel;145;54,3;2;skoda
 A3;22777;Manual;1276;Diesel;145;52,3;1,6;audi
 Kuga;32000;Automatic;10;Hybrid;140;201,8;2,5;Ford
 I20;11990;Manual;1958;Petrol;150;46,3;1,2;Hyundai
 Up;10450;Manual;1393;Petrol;145;54,3;1;vw
 3 Series;29999;Semi-Auto;9;Diesel;145;50,4;2;BMW
 X2;33940;Automatic;2182;Petrol;145;34;2;BMW
 Tiguan;22862;Semi-Auto;4311;Petrol;150;37,7;1,5;vw
 T-Roc;27207;Semi-Auto;796;Petrol;145;39,8;1,5;vw
 Golf;22995;Manual;2000;Petrol;145;49,6;1,5;vw
 Z4;28990;Semi-Auto;5;Petrol;145;38,2;2;BMW
 Up;10555;Manual;2568;Petrol;145;54,3;1;vw
 3 Series;37990;Semi-Auto;5875;Diesel;145;45,6;3;BMW
 A8;48490;Semi-Auto;1354;Diesel;145;39,2;3;audi
 Kamiq;23750;Semi-Auto;1000;Petrol;145;43,5;1,5;skoda
 T-Roc;23495;Manual;1000;Diesel;150;50,4;2;vw
 Octavia;20880;Semi-Auto;895;Petrol;145;45,6;1,5;skoda
 4 Series;26950;Semi-Auto;10;Petrol;145;48,7;2;BMW
 Q7;49989;Semi-Auto;6000;Diesel;145;33,2;3;audi
 Q3;33990;Automatic;1500;Diesel;145;47,1;0;audi
 Polo;11995;Manual;18754;Petrol;145;48,7;1;vw
 EcoSport;17390;Manual;650;Petrol;145;53,3;1;Ford
 Fiesta;14500;Manual;7;Petrol;145;56,5;1;Ford
 T-Cross;22990;Manual;1478;Petrol;145;47,9;1;vw
 Polo;18295;Semi-Auto;10;Petrol;145;45,6;1;vw
 Tiguan;32995;Manual;10;Diesel;145;47,9;2;vw
 5 Series;26990;Semi-Auto;6;Petrol;145;52,3;2;BMW
 3 Series;37950;Semi-Auto;100;Diesel;145;47,9;3;BMW
 Golf;21000;Manual;2000;Petrol;145;47,1;1,5;vw
 Golf;21498;Semi-Auto;10;Diesel;150;53,3;2;vw
 I10;13000;Manual;500;Petrol;145;53,3;1;Hyundai
 Focus;24799;Manual;641;Petrol;145;50,4;1,5;Ford
 Golf;23195;Semi-Auto;246;Petrol;145;43,5;1,5;vw
 Q5;38990;Semi-Auto;2240;Diesel;145;38,2;2;audi
 Fiesta;17800;Manual;10;Petrol;145;58,9;1;Ford
